"commissione","auditi","atto","data"
"1","Pres. Giovanni TOTI (94 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","24 Novembre 2020"
"1","Prof. MICCU' (638 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1","Prof. CURRERI (36 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1","Prof. RIVOSECCHI (421 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1","Prof.ssa D'AMICO (512 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1","Conferenza Presidenti Assemblee legislative Regioni-Province autonome - CIAMBETTI (610 Kb)","Audizioni informali sul ddl 1825 (clausola di supremazia)","18 Novembre 2020"
"1","Cons. Claudio TUCCIARELLI (232 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","18 Novembre 2020"
"1","Prof.ssa Michela MANETTI (570 Kb)                                                              Prof. Marcello PERA (189 Kb)                                                              Prof. Luca LONGHI (41 Kb)                                                              Prof. MANZELLA (118 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","17 Novembre 2020"
"1","Prof. Fulvio PASTORE (506 Kb)                                                              Prof. Massimo VILLONE (60 Kb)                                                              Prof. Enzo CHELI (265 Kb)                                                              Prof. Massimo LUCIANI (211 Kb)                                                              Prof. Gaetano AZZARITI (623 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","12 Novembre 2020"
"1","Prof. Nicola LUPO (648 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588"," 5 Novembre 2020"
